Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Customer_no,Segment,Segment_no,Country,City,State,State_no,Postal Code,Region,Region_no,Product ID,Category,Category_no,Sub-Category,Sub-Category_no,Product Name,Product Name_no,Sales,Quantity,Discount,Profit,Returned
3783,CA-2017-165204,13/11/2017,16/11/2017,Second Class,MN-17935,Michael Nguyen,1,Consumer,1,United States,Memphis,Tennessee,41,38109,South,1,OFF-PA-10003424,Office Supplies,2,Paper,1,"""While you Were Out"" Message Book, One Form per Page",1,8.904,3,0.2,3.339,FALSE
7322,CA-2017-167626,03/09/2017,07/09/2017,Standard Class,MY-18295,Muhammed Yedwab,2,Corporate,2,United States,Chicago,Illinois,12,60623,Central,4,OFF-PA-10003424,Office Supplies,2,Paper,1,"""While you Were Out"" Message Book, One Form per Page",1,8.904,3,0.2,3.339,FALSE
1709,CA-2017-123491,30/10/2017,05/11/2017,Standard Class,JK-15205,Jamie Kunitz,3,Consumer,1,United States,San Francisco,California,4,94122,West,2,OFF-PA-10003424,Office Supplies,2,Paper,1,"""While you Were Out"" Message Book, One Form per Page",1,7.42,2,0,3.71,TRUE
2586,CA-2015-121041,03/11/2015,10/11/2015,Standard Class,CS-12250,Chris Selesnick,4,Corporate,2,United States,Haltom City,Texas,42,76117,Central,4,OFF-EN-10001137,Office Supplies,2,Envelopes,2,"#10 Gummed Flap White Envelopes, 100/Box",1,6.608,2,0.2,2.1476,FALSE
356,CA-2016-138520,08/04/2016,13/04/2016,Standard Class,JL-15505,Jeremy Lonsdale,5,Consumer,1,United States,New York City,New York,31,10035,East,3,OFF-EN-10001137,Office Supplies,2,Envelopes,2,"#10 Gummed Flap White Envelopes, 100/Box",1,8.26,2,0,3.7996,FALSE
3742,CA-2016-137848,15/01/2016,21/01/2016,Standard Class,WB-21850,William Brown,6,Consumer,1,United States,New York City,New York,31,10011,East,3,OFF-EN-10001137,Office Supplies,2,Envelopes,2,"#10 Gummed Flap White Envelopes, 100/Box",1,16.52,4,0,7.5992,FALSE
7828,CA-2017-117114,31/10/2017,05/11/2017,Standard Class,CY-12745,Craig Yedwab,7,Corporate,2,United States,Chicago,Illinois,12,60610,Central,4,OFF-EN-10001137,Office Supplies,2,Envelopes,2,"#10 Gummed Flap White Envelopes, 100/Box",1,9.912,3,0.2,3.2214,FALSE
3696,CA-2016-142097,15/10/2016,20/10/2016,Standard Class,QJ-19255,Quincy Jones,8,Corporate,2,United States,Springfield,Virginia,45,22153,South,1,OFF-EN-10002312,Office Supplies,2,Envelopes,2,#10 Self-Seal White Envelopes,2,66.54,6,0,32.6046,FALSE
4641,CA-2016-102162,11/09/2016,16/09/2016,Standard Class,JF-15565,Jill Fjeld,9,Consumer,1,United States,Newport News,Virginia,45,23602,South,1,OFF-EN-10002312,Office Supplies,2,Envelopes,2,#10 Self-Seal White Envelopes,2,11.09,1,0,5.4341,FALSE
3673,CA-2016-104969,08/04/2016,14/04/2016,Standard Class,EH-14125,Eugene Hildebrand,10,Home Office,3,United States,Troy,Ohio,34,45373,East,3,OFF-EN-10002312,Office Supplies,2,Envelopes,2,#10 Self-Seal White Envelopes,2,8.872,1,0.2,3.2161,FALSE
